user_id,search,view,plan,book,budget,group_size
182,1,0,0,0,Medium,4
183,1,1,1,1,High,4
184,1,1,1,1,Low,3
185,1,1,0,0,Medium,5
186,1,1,1,0,High,5
187,1,1,1,1,Medium,5
188,1,1,1,1,Medium,4
189,1,1,1,1,High,2
190,1,1,1,0,Low,4
191,1,1,1,0,Medium,2
192,1,1,1,0,Low,4
193,1,1,1,0,Low,3
194,1,1,1,1,Low,3
195,1,1,1,1,Medium,2
196,1,1,1,1,Low,4
197,1,1,1,1,Medium,4
198,1,1,1,0,High,2
199,1,1,1,0,Low,2
200,1,1,1,0,Low,4
201,1,1,0,0,Medium,3
202,1,1,1,1,Low,3
203,1,1,1,0,High,2
204,1,1,1,0,High,2
205,1,1,0,0,Low,3
206,1,1,1,0,High,3
207,1,1,1,0,Low,4
208,1,1,1,0,Medium,4
209,1,1,1,1,High,5
210,1,1,1,0,Medium,3
211,1,1,1,1,High,2
212,1,1,1,1,Low,5
213,1,1,1,1,Low,5
214,1,1,1,1,Medium,3
215,1,1,1,1,Medium,3
216,1,1,0,0,High,3
217,1,1,1,1,High,5
218,1,1,1,0,Medium,2
219,1,1,1,0,Low,2
220,1,1,1,1,Medium,5
221,1,1,1,0,Low,4
222,1,1,1,0,Low,4
223,1,1,1,0,High,3
224,1,1,0,0,Medium,4
225,1,1,1,0,Medium,4
226,1,1,1,1,High,2
227,1,0,0,0,High,2
228,1,0,0,0,Low,3
229,1,1,1,0,Low,3
230,1,1,1,0,High,5
231,1,1,0,0,Medium,4
232,1,1,0,0,Low,4
233,1,0,0,0,Medium,5
234,1,1,1,1,Low,3
235,1,1,0,0,Low,4
236,1,1,1,0,Medium,2
237,1,0,0,0,Low,4
238,1,1,1,1,Medium,5
239,1,1,1,1,High,3
240,1,1,1,0,Medium,5
241,1,1,1,1,Low,5
242,1,1,1,1,High,3
243,1,1,1,0,High,5
244,1,1,1,0,Low,3
245,1,1,1,1,Medium,3
246,1,1,1,1,Medium,2
247,1,1,1,1,High,5
248,1,1,1,1,Low,3
249,1,1,1,0,Low,2
250,1,1,1,1,Low,5
251,1,1,0,0,Low,2
252,1,1,1,0,Low,4
253,1,1,1,0,Low,5
254,1,1,1,0,Medium,2
255,1,1,1,0,High,5
256,1,0,0,0,Medium,3
257,1,1,0,0,Low,3
258,1,0,0,0,High,2
259,1,1,1,1,Low,5
260,1,1,0,0,Medium,4
261,1,1,0,0,Low,3
262,1,1,1,1,Medium,2
263,1,1,1,1,Medium,2
264,1,1,1,0,High,4
265,1,1,0,0,High,4
266,1,1,1,1,High,5
267,1,1,1,1,Medium,5
268,1,0,0,0,Medium,3
269,1,1,1,0,Low,3
270,1,1,1,0,Medium,2
271,1,1,1,1,Medium,3
272,1,1,1,1,Low,5
273,1,1,1,1,Low,4
274,1,1,1,1,High,4
275,1,1,0,0,Medium,4
276,1,1,1,1,High,5
277,1,1,0,0,High,4
278,1,0,0,0,High,3
279,1,0,0,0,Medium,5
280,1,1,1,0,Medium,3
281,1,0,0,0,Low,5
282,1,1,1,0,Medium,3
283,1,1,1,1,Medium,3
284,1,1,1,0,Low,5
285,1,1,1,1,High,3
286,1,1,1,1,High,5
287,1,1,1,1,Low,5
288,1,0,0,0,High,4
289,1,1,1,1,Medium,5
290,1,1,1,0,High,3
291,1,1,1,1,Low,2
292,1,1,1,1,High,2
293,1,1,1,0,High,3
294,1,1,1,0,High,5
295,1,1,1,0,Medium,5
296,1,1,1,1,Low,4
297,1,1,1,0,Medium,2
298,1,1,1,1,Medium,4
299,1,1,1,1,High,5
